Date,Location,Operator,Route,Type,Aboard,Fatalities,Ground
09/17/1908,"Fort Myer, Virginia",Military - U.S. Army,Demonstration,Wright Flyer III,2,1,0
07-12-1912,"AtlantiCity, New Jersey",Military - U.S. Navy,Test flight,Dirigible,5,5,0
08-06-1913,"Victoria, British Columbia, Canada",Private,,Curtiss seaplane,1,1,0
09-09-1913,Over the North Sea,Military - German Navy,,Zeppelin L-1 (airship),20,14,0
10/17/1913,"Near Johannisthal, Germany",Military - German Navy,,Zeppelin L-2 (airship),30,30,0
03-05-1915,"Tienen, Belgium",Military - German Navy,,Zeppelin L-8 (airship),41,21,0
09-03-1915,"Off Cuxhaven, Germany",Military - German Navy,,Zeppelin L-10 (airship),19,19,0
07/28/1916,"Near Jambol, Bulgeria",Military - German Army,,Schutte-Lanz S-L-10 (airship),20,20,0
09/24/1916,"Billericay, England",Military - German Navy,,Zeppelin L-32 (airship),22,22,0
10-01-1916,"Potters Bar, England",Military - German Navy,,Zeppelin L-31 (airship),19,19,0
11/21/1916,"Mainz, Germany",Military - German Army,,Super Zeppelin (airship),28,27,0
11/28/1916,"Off West Hartlepool, England",Military - German Navy,,Zeppelin L-34 (airship),20,20,0
03-04-1917,"Near Gent, Belgium",Military - German Army,,Airship,20,20,0
03/30/1917,Off Northern Germany,Military - German Navy,,Schutte-Lanz S-L-9 (airship),23,23,0
05/14/1917,"Near Texel Island, North Sea",Military - German Navy,,Zeppelin L-22 (airship),21,21,0
06/14/1917,"Off Vlieland Island, North Sea",Military - German Navy,,Zeppelin L-43 (airship),24,24,0
08/21/1917,Off western Denmark,Military - German Navy,,Zeppelin L-23 (airship),18,18,0
10/20/1917,"Near Luneville, France",Military - German Navy,,Zeppelin L-44 (airship),18,18,0
04-07-1918,Over the Mediterranean,Military - German Navy,,Zeppelin L-59 (airship),23,23,0
05-10-1918,"Off Helgoland Island, Germany",Military - German Navy,,Zeppelin L-70 (airship),22,22,0
08-11-1918,"Ameland Island, North Sea",Military - German Navy,,Zeppelin L-53 (airship),19,19,0
12/16/1918,"Elizabeth, New Jersey",US Aerial Mail Service,,De Havilland DH-4,1,1,0
05/25/1919,"Cleveland, Ohio",US Aerial Mail Service,,De Havilland DH-4,1,1,0
07/19/1919,"Dix Run, Pennsylvania",US Aerial Mail Service,,De Havilland DH-4,1,1,0
10-02-1919,"Newcastle, England",Aircraft Transport and Travel,,De Havilland DH-4,1,1,0
10/14/1919,"Cantonsville, Maryland",US Aerial Mail Service,,Curtiss R-4LM,1,1,0
10/20/1919,English Channel,Aircraft Transport and Travel,,De Havilland DH-4,,,
10/30/1919,"Long Valley, New Jersey",US Aerial Mail Service,,De Havilland DH.4,1,1,0
03-10-1920,"New Paris, Indiana",US Aerial Mail Service,,De Havilland DH-4,1,1,0
03/30/1920,"Newark, New Jersey",US Aerial Mail Service,,De Havilland DH-4,1,1,0
04-10-1920,"Newark, New Jersey",US Aerial Mail Service,,Curtiss R-4LM,2,1,0
04-11-1920,"Heller Field, New Jersey",US Aerial Mail Service,,Curtiss JN-4H,2,1,0
05-12-1920,"Oskaloosa, Iowa",US Aerial Mail Service,,De Havilland DH-4,2,1,0
06-06-1920,"Cleveland, Ohio",US Aerial Mail Service,,De Havilland DH-4,1,1,0
08/16/1920,"Bedford, England",By Air,,Armstrong-Whitworth F-K-8,1,1,0
08/16/1920,"College Park, Maryland",US Aerial Mail Service,,De Havilland DH-4,1,1,0
09-01-1920,"Morristown, New Jersey",US Aerial Mail Service,,Junkers JL-6,2,2,0
09/15/1920,"Pemberville, Ohio",US Aerial Mail Service,,Junkers F-13,2,2,0
09/27/1920,"Hillersburg, Pennsylvania",US Aerial Mail Service,,De Havilland DH-4,1,1,0
10-02-1920,"Off Port Vendres, France",Latecoere Airlines,,Salmson 2-A-2,2,2,0
10-05-1920,"Valencia, Spain",Latecoere Airlines,,Breguet 14,2,2,0
